J1319-6105    kbm+03     J1319-6105    kbm+03     13:19:26.32      2.0e-02   kbm+03     -61:05:26.2      1.0e-01   kbm+03     0.421118114249       6.0e-12   kbm+03     442.2      5.0e-01   kbm+03     0.84   9.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1320-3512    mld+96     J1320-3512    mld+96     13:20:12.68      4.0e-02   dsb+98     -35:12:26.0      8.0e-01   dsb+98     0.45848840672        7.0e-11   dsb+98     16.42      1.0e-01   dsb+98     *            0  *          *                               *       *          pks70,pkssw                                      
B1317-53      mlt+78     J1320-5359    mlt+78     13:20:53.922     1.4e-02   smd93      -53:59:06.38     1.8e-01   smd93      0.279729147244       4.0e-12   smd93      97.6       6.0e-01   nmc81      *            0  *          *                               *       *          mol2,pks70,pkssw,htru_pks                        
J1320+67      slr+14     J1320+67      slr+14     13:20            3.0e+00   slr+14     +67:30           1.8e+01   slr+14     1.028620             3.5e-05   slr+14     28         2.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J1321-5922    kel+09     J1321-5922    kel+09     13:21:39.56      5.0e-02   kel+09     -59:22:52.1      7.0e-01   kel+09     1.27905759523        7.0e-11   kel+09     383        2.0e+00   kel+09     0.19         0  kel+09     *                               *       *          pksmb                                            
B1322+83      dbtb82     J1321+8323    dbtb82     13:21:46.18      7.0e-02   hlk+04     +83:23:38.92     1.0e-01   hlk+04     0.670037418386       3.0e-12   hlk+04     13.312     1.8e-02   hlk+04     0.9          0  lylg95     *                               *       *          gb1,gb2,gbncc                                    
J1322-62      kek+13     J1322-62      kek+13     13:22:54         3.0e+02   kek+13     -62:51           7.0e+00   kek+13     1.044851             4.0e-06   kek+13     733.6            0  kek+13     0.3          0  kek+13     *                               *       *          pksmb                                            
J1322-6241    mlc+01     J1322-6241    mlc+01     13:22:32.15      1.2e-01   mlc+01     -62:41:53.5      8.0e-01   mlc+01     0.50605841373        5.0e-11   mlc+01     618.8      1.9e+00   mlc+01     0.37   5.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1322-6329    kbm+03     J1322-6329    kbm+03     13:22:18.0       2.0e-01   kbm+03     -63:29:37        2.0e+00   kbm+03     2.7642094208         5.0e-10   kbm+03     659        9.0e+00   kbm+03     0.17   3.0e-02   kbm+03     *                               *       *          pksmb                                            
J1324-6146    kbm+03     J1324-6146    kbm+03     13:24:43.9       5.0e-01   kbm+03     -61:46:00        3.0e+00   kbm+03     0.8441085753         3.0e-10   kbm+03     828        9.0e+00   kbm+03     0.73   8.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1324-6302    kbm+03     J1324-6302    kbm+03     13:24:13.65      7.0e-02   kbm+03     -63:02:21.1      6.0e-01   kbm+03     2.48380369300        1.0e-10   kbm+03     497        5.0e+00   kbm+03     0.23   3.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
B1323-58      mlt+78     J1326-5859    mlt+78     13:26:58.27      4.0e-02   dmk+93     -58:59:29.1      4.0e-01   dmk+93     0.47799086689        3.0e-11   dmk+93     287.30     1.5e-01   hfs+04     9.9    1.0e+00   hfs+04     *                               *       *          mol2,pks1,pks70,pksmb,htru_pks                   
B1323-63      mlt+78     J1326-6408    mlt+78     13:26:32.6       3.0e-01   nmc81      -64:08:44        1.0e+00   nmc81      0.7926701073         5.0e-10   nmc81      502.7      4.0e-01   hfs+04     1.40   1.5e-01   hfs+04     *                               *       *          mol2,pks70,pksmb,htru_pks                        
B1322-66      mlt+78     J1326-6700    mlt+78     13:26:03.2       4.0e-01   nmc81      -67:00:51        3.0e+00   nmc81      0.5430085792         5.0e-10   nmc81      209.6      3.0e-01   hfs+04     11.0   1.1e+00   hfs+04     *                               *       *          mol2,pksmb,htru_pks                              
J1327-0755    blr+13     J1327-0755    blr+13     13:27:57.5880    1.2e-03   blr+13     -07:55:29.80     4.0e-02   blr+13     0.0026779231971205   2.0e-16   blr+13     27.91215   6.0e-05   blr+13     *            0  *          *                               ELL1    blr+13     gb350                                            
B1323-62      kac+73     J1327-6222    kac+73     13:27:17.4       1.0e-01   dmk+93     -62:22:44.6      6.0e-01   dmk+93     0.52991319210        1.0e-11   dmk+93     318.80     6.0e-02   hfs+04     16.0   1.6e+00   hfs+04     *                               *       *          misc,mol2,pks1,pks70,pksmb,htru_pks              
B1323-627     jlm+92     J1327-6301    jlm+92     13:27:07.47      2.0e-02   jml+95     -63:01:15.39     1.0e-02   jml+95     0.196478664183       3.0e-12   jml+95     294.91     3.0e-02   jml+95     3.2    3.0e-01   hfs+04     *                               *       *          pks1,pksmb,htru_pks                              
J1327-6400    mlc+01     J1327-6400    mlc+01     13:27:10.27      1.1e-01   mlc+01     -64:00:13.1      6.0e-01   mlc+01     0.280677974168       1.3e-11   mlc+01     680.9      1.4e+00   mlc+01     0.36   5.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
B1325-43      mlt+78     J1328-4357    mlt+78     13:28:06.432     1.0e-02   bfg+03     -43:57:44.12     1.0e-01   bfg+03     0.53269880337        1.3e-10   nmc81      42.0       1.0e+00   nmc81      2            0  wmlq93     *                               *       *          mol2,pks70,pkssw                                 
B1325-49      mlt+78     J1328-4921    mlt+78     13:28:33.58      4.0e-02   nmc81      -49:21:33.4      7.0e-01   nmc81      1.4787213559         4.0e-10   nmc81      118        2.0e+00   nmc81      *            0  *          *                               *       *          mol2,pks70,pkssw,htru_pks                        
J1329-6158    kbm+03     J1329-6158    kbm+03     13:29:03.3       6.0e-01   kbm+03     -61:58:59        6.0e+00   kbm+03     1.5652179638         8.0e-10   kbm+03     514        1.1e+01   kbm+03     0.22   3.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1331-5245    kjv+10     J1331-5245    kjv+10     13:31:00.01      4.0e-02   bbb+12     -52:45:25.4      5.0e-01   bbb+12     0.6481166471         2.0e-10   bbb+12     148.4      3.0e-01   bbb+12     *            0  *          *                               *       *          htru_pks                                         
J1332-3032    lml+98     J1332-3032    lml+98     13:32:52.48      6.6e-02   hlk+04     -30:32:17.3      1.7e+00   hlk+04     0.650434490647       1.7e-11   hlk+04     15.10      1.9e-01   hlk+04     0.3          0  gl98       *                               *       *          pks70                                            
J1333-4449    jbo+09     J1333-4449    jbo+09     13:33:44.829     5.0e-03   jbo+09     -44:49:26.22     1.0e-01   jbo+09     0.345602948594       3.0e-12   jbo+09     44.3       1.7e+00   jbo+09     *            0  *          *                               *       *          pkssw                                            
J1334-5839    mld+96     J1334-5839    mld+96     13:34:30.1091    9.0e-04   dsb+98     -58:39:16.545    8.0e-03   dsb+98     0.1077182159234      2.0e-13   dsb+98     119.2978   9.0e-04   dsb+98     0.62   7.0e-02   hfs+04     *                               *       *          pks70,pksmb,htru_pks                             
J1335-3642    mld+96     J1335-3642    mld+96     13:35:36         2.0e+01   mld+96     -36:42           4.0e+00   mld+96     0.399192             3.0e-06   mld+96     41.7       3.0e-01   dsb+98     *            0  *          *                               *       *          pks70,pkssw                                      
J1337-6306    hfs+04     J1337-6306    hfs+04     13:37:20.35      5.0e-02   hfs+04     -63:06:23.3      3.0e-01   hfs+04     0.207953012189       4.0e-12   hfs+04     777.7      1.7e+00   hfs+04     0.11   2.0e-02   hfs+04     *                               *       *          pksmb                                            
J1337-6423    kjb+12     J1337-6423    kjb+12     13:37:31.883     2.0e-03   nbb+14     -64:23:04.915    9.0e-03   nbb+14     0.009423406717798    1.7e-14   nbb+14     259.2      1.3e+00   nbb+14     0.29         0  nbb+14     *                               ELL1    nbb+14     htru_pks                                         
B1334-61      jlm+92     J1338-6204    jlm+92     13:38:09.35      5.0e-02   jml+95     -62:04:18.7      4.0e-01   jml+95     1.23898957650        4.0e-11   jml+95     640.3      7.0e-01   hfs+04     3.8    4.0e-01   hfs+04     *                               *       *          pks1,pksmb,htru_pks                              
J1339-4712    jbo+09     J1339-4712    jbo+09     13:39:56.5886    1.8e-03   jbo+09     -47:12:05.52     3.0e-02   jbo+09     0.1370546579332      4.0e-13   jbo+09     39.9       6.0e-01   jbo+09     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1339-6618    kbm+03     J1339-6618    kbm+03     13:39:56.6       2.0e-01   kbm+03     -66:18:07.8      7.0e-01   kbm+03     0.55817922185        5.0e-11   kbm+03     241        3.0e+00   kbm+03     0.23   3.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
B1336-64      mlt+78     J1340-6456    mlt+78     13:40:00.32      5.0e-02   nmc81      -64:56:42.9      3.0e-01   nmc81      0.37862206628        4.0e-11   nmc81      76.99      1.3e-01   hfs+04     1.10   1.2e-01   hfs+04     *                               *       *          mol2,pks70,pksmb,htru_pks                        
J1341-6023    mlc+01     J1341-6023    mlc+01     13:41:07.37      3.0e-02   mlc+01     -60:23:34.7      5.0e-01   mlc+01     0.627285365870       1.6e-11   mlc+01     364.6      9.0e-01   mlc+01     0.63   7.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
B1338-62      mdt85      J1341-6220    mdt85      13:41:42.63      8.0e-02   wmp+00     -62:20:20.7      5.0e-01   wmp+00     0.193339746306       1.9e-11   wmp+00     717.3      6.0e-01   wmp+00     1.9    2.0e-01   hfs+04     *                               *       *          misc,pks1,pksmb,htru_pks                         
